time_s,max_C,argmax_index,argmax_coordinate_cm,argmax_xi,center_C,surface_C,event_value
59255.0,0.15019597472960045,0,0.0,0.0,0.15019597472960045,0.11292704979859033,0.00019597472960045104
59256.0,0.1501896825131606,0,0.0,0.0,0.1501896825131606,0.11292316300841808,0.00018968251316059392
59257.0,0.15018339069171932,0,0.0,0.0,0.15018339069171932,0.11291927645401238,0.0001833906917193262
59258.0,0.15017709926525183,0,0.0,0.0,0.15017709926525183,0.11291539013535949,0.0001770992652518344
59259.0,0.15017080823373335,0,0.0,0.0,0.15017080823373335,0.11291150405244565,0.00017080823373336051
59260.0,0.15016451759713909,0,0.0,0.0,0.15016451759713909,0.11290761820525709,0.0001645175971390911
59261.0,0.1501582273554442,0,0.0,0.0,0.1501582273554442,0.11290373259378005,0.00015822735544421263
59262.0,0.15015193750862396,0,0.0,0.0,0.15015193750862396,0.11289984721800078,0.00015193750862396715
59263.0,0.15014564805665356,0,0.0,0.0,0.15014564805665356,0.11289596207790553,0.00014564805665356895
59264.0,0.1501393589995082,0,0.0,0.0,0.1501393589995082,0.11289207717348054,0.00013935899950820452
59265.0,0.15013307033716308,0,0.0,0.0,0.15013307033716308,0.11288819250471205,0.00013307033716308814
59266.0,0.15012678206959346,0,0.0,0.0,0.15012678206959346,0.1128843080715863,0.00012678206959346183
59267.0,0.1501204941967745,0,0.0,0.0,0.1501204941967745,0.11288042387408954,0.00012049419677451212
59268.0,0.15011420671868148,0,0.0,0.0,0.15011420671868148,0.11287653991220804,0.00011420671868148102
59269.0,0.15010791963528955,0,0.0,0.0,0.15010791963528955,0.11287265618592802,0.00010791963528955506
59270.0,0.150101632946574,0,0.0,0.0,0.150101632946574,0.11286877269523574,0.00010163294657400401
59271.0,0.15009534665251004,0,0.0,0.0,0.15009534665251004,0.11286488944011744,9.534665251004215e-05
59272.0,0.15008906075307285,0,0.0,0.0,0.15008906075307285,0.11286100642055939,8.906075307285599e-05
59273.0,0.15008277524823768,0,0.0,0.0,0.15008277524823768,0.11285712363654782,8.277524823768756e-05
59274.0,0.15007649013797977,0,0.0,0.0,0.15007649013797977,0.11285324108806899,7.649013797977888e-05
59275.0,0.15007020542227437,0,0.0,0.0,0.15007020542227437,0.11284935877510915,7.020542227437199e-05
59276.0,0.15006392110109665,0,0.0,0.0,0.15006392110109665,0.11284547669765456,6.392110109665339e-05
59277.0,0.1500576371744219,0,0.0,0.0,0.1500576371744219,0.11284159485569148,5.763717442189287e-05
59278.0,0.1500513536422253,0,0.0,0.0,0.1500513536422253,0.11283771324920613,5.1353642225304696e-05
59279.0,0.15004507050448213,0,0.0,0.0,0.15004507050448213,0.11283383187818481,4.50705044821309e-05
59280.0,0.1500387877611676,0,0.0,0.0,0.1500387877611676,0.11282995074261375,3.878776116761351e-05
59281.0,0.150032505412257,0,0.0,0.0,0.150032505412257,0.1128260698424792,3.250541225699455e-05
59282.0,0.1500262234577255,0,0.0,0.0,0.1500262234577255,0.11282218917776743,2.6223457725516042e-05
59283.0,0.1500199418975484,0,0.0,0.0,0.1500199418975484,0.11281830874846471,1.9941897548392262e-05
59284.0,0.15001366073170086,0,0.0,0.0,0.15001366073170086,0.11281442855455727,1.3660731700865236e-05
59285.0,0.15000737996015823,0,0.0,0.0,0.15000737996015823,0.1128105485960314,7.379960158232501e-06
59286.0,0.1500010995828957,0,0.0,0.0,0.1500010995828957,0.11280666887287334,1.0995828957083287e-06
59286.17508875796,0.14999999999999997,0,0.0,0.0,0.14999999999999997,0.11280598960117619,-2.7755575615628914e-17
